UID,Category,ObsDate,Log,Male1ID,FemID,Bird2ID,DisplayShort,DisplayShort_AfterCop,DisplayCode,DisplayCode_AfterCop,Duration
1122,AUDI,2017-10-31,Luis,296,8200,NA,Othr;Taf;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Taf;Taf;Taf;Neck;Neck;Neck;Neck;Bow;Bow;ALAD;HdBw;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Taf;Neck;Taf;Neck;Neck;Taf;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;HafB;Bow;Bow;Bow;Bow;Taf;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Taf;ALAD;HdBw;Taf,NA,LJDDDDDDBFFFFFFFFFFFIIIDDDDIIIIJJJIIIIDDBFDDDDIIIIIIIIIIIIIIJIJIIJDDDDDDIIDDDDDDDDDDDDEDDDDJDDDDDDDDIIIIIIIIJBFJ,NA,355.345
1126,SOLO,2017-10-31,Luis,296,NA,NA,Othr;Zro;ALAD;Zro;Zro;SLAD;Zro;Bow;SLAD,NA,LABAACADC,NA,70.206
1128,SOLO,2017-11-01,Bare,296,NA,NA,SLAD;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;HdBw;Zro;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;Zro;Bow,NA,CDDDDDDDBFFFFFADDDDDDDBFAD,NA,77.975
1133,SOLO,2017-11-01,FalseLog,980,NA,NA,HafB;Othr;Bow;Bow;Othr;Bow;ALAD;HdBw;Zro;Zro;Zro;SLAD;Zro;Zro;Bow;HafB;Bow;ALAD;HdBw;Zro,NA,ELDDLDBFAAACAADEDBFA,NA,75.96300000000001
1134,SOLO,2017-11-01,FalseLog,980,NA,NA,Zro;HafB;HafB;Bow;ALAD;HdBw;Zro;Zro;Zro;Bow;Bow;Bow;Bow;ALAD;HdBw;Zro;Zro,NA,AEEDBFAAADDDDBFAA,NA,110.235
1149,SOLO,2017-11-02,Bare,296,NA,NA,SLAD;Zro;SLAD;SLAD;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;Zro;Zro,NA,CACCDDDDDBFFAA,NA,80.24300000000001
1181,SOLO,2017-11-03,Bare,296,NA,NA,SLAD;Taf;Taf;SLAD;Bow;Mix;Bow;Bow;Bow;ALAD;HdBw;HdBw;Zro;Zro;Bow;Bow;Bow;ALAD;HdBw,NA,CJJCDKDDDBFFAADDDBF,NA,81.218
1184,AUDI,2017-11-03,Bare,296,8200,8300,Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Othr;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;HafB;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;Bow;Bow;Bow;Bow;Neck;Neck;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Taf;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Taf;Swtc;Swtc;Swtc;Swtc;Swtc;Taf;Othr;Neck;Neck;Taf;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Taf;Neck;Taf;Swtc;Swtc;Swtc;Taf;Neck;Neck;Neck;Neck;Neck;Othr;Neck;Neck;Taf;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;Neck;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck,NA,DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDLDDDDDDDDDDDEDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDBFDDDDIIHHHHHHHHHHHHHHHHHJHHHHHHHHHHHIIIIIIIJHHHHHJLIIJIIIIIIIJIJHHHJIIIIILIIJIDDDDDDDDDDDDDDDDDDDDDDDDDBFIDDIIIIIIIIIIIIIIHHHHHHHIIIIIIIIIIIIIIIII,NA,445.974
1185,SOLO,2017-11-03,Bare,296,NA,NA,SLAD;Taf;Taf;Taf;Zro;Zro;SLAD;SLAD;Zro;Zro;Bow;Bow;Bow;SLAD;Zro;Bow;ALAD;HdBw;Bow;Zro;Zro;ALAD;HdBw;Zro;Zro;Zro;SLAD;Taf;Taf,NA,CJJJAACCAADDDCADBFDAABFAAACJJ,NA,173.564
119,SOLO,2017-09-18,First,965,NA,NA,HafB;Bow;ALAD;HdBw;Zro;Zro;Zro;Bow;Bow;ALAD;HdBw;Zro;Zro;Zro;Zro;Zro;Zro,NA,EDBFAAADDBFAAAAAA,NA,114.17499999999998
1191,AUDI,2017-11-03,FalseLog,980,8200,NA,Taf;Taf;Taf;Swtc;Swtc;Swtc;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Taf;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;HdBw;Bow;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;HdBw;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Taf;Taf;Taf;Taf;Taf;Taf;Taf;Taf;Taf;Taf;Taf;Taf;Neck;Neck;Taf;Taf;Taf;Taf;Taf;Neck;Taf;Taf;Neck;Taf;Taf;Neck;Taf;Taf,NA,JJJHHHIIIIIIIIIIIIIIIJIIIIIIIIIIIIIIIIIIIIIIIIIIIDDDDDDBFFFFFDDDIIIIIIIIIIIDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDBFFFFFFFFFFIIIIIIIIIIIIIIIIIIIIIIIJJJJJJJJJJJJIIJJJJJIJJIJJIJJ,NA,360.194
1193,SOLO,2017-11-03,FalseLog,980,NA,NA,Othr;Bow;ALAD;HdBw;Zro;Zro;Zro;Taf;Taf;Taf;Zro;Zro;ALAD;HdBw;Zro;Othr;Bow;Bow;Othr;Bow;Bow;Bow,NA,LDBFAAAJJJAABFALDDLDDD,NA,64.723
1194,SOLO,2017-11-03,FalseLog,980,NA,NA,Bow;Bow;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;Zro;Zro;Zro;Zro;Zro;HafB;Othr;Bow;Bow;ALAD;HdBw;Zro;Zro;Zro;Zro;SLAD;SLAD;Zro;Zro;Zro;ALAD;Bow;Zro;Zro;SLAD;Zro;Othr;Othr;ALAD;HdBw;Zro,NA,DDDDDDDBFAAAAAELDDBFAAAACCAAABDAACALLBFA,NA,245.393
1205,SOLO,2017-11-04,Bare,296,NA,NA,HafB;Bow;Bow;ALAD;HdBw;Zro;Zro;Bow;SLAD;Bow;Bow;ALAD;HdBw;HdBw,NA,EDDBFAADCDDBFF,NA,71.715
1207,SOLO,2017-11-04,Bare,296,NA,NA,SLAD;Bow;Mix;Bow;Bow;Bow;ALAD;HdBw;Zro;Bow;Bow;Bow;Bow;ALAD;Zro;HafB;SLAD;Bow;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;Zro;Zro;HafB;Bow;Bow;Bow;Bow;Bow;SLAD;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;Zro,NA,CDKDDDBFADDDDBAECDDDDDBFFFAAEDDDDDCDDDDBFFA,NA,177.82000000000002
1209,SOLO,2017-11-04,Bare,296,NA,NA,HafB;Bow;Bow;HafB;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;HdBw;Zro;Bow;Bow;Mix;Mix;Mix;Bow;Bow;Bow;ALAD;HdBw;HdBw;Zro,NA,EDDEDDDBFFFFADDKKKDDDBFFA,NA,72.21000000000001
1210,SOLO,2017-11-04,Bare,296,NA,NA,SLAD;Bow;Bow;Bow;Bow;ALAD;HdBw;Zro;SLAD;Bow;HafB;Bow;Bow;Bow;Bow;ALAD;HdBw;HdBw;HdBw;Zro,NA,CDDDDBFACDEDDDDBFFFA,NA,86.196
1223,SOLO,2017-11-04,FalseLog,980,NA,NA,Bow;Bow;Zro;ALAD;HdBw;Zro;Zro;Bow;Bow;Bow;HafB;Bow;Bow;ALAD;HdBw;Zro;Zro;Othr;Zro;Bow;Bow;Bow;ALAD;HdBw;Zro,NA,DDABFAADDDEDDBFAALADDDBFA,NA,106.003
1225,AUDI,2017-11-04,FalseLog,980,8400,NA,Neck;Neck;Neck;Neck;Taf;Swtc;Swtc;Swtc;Swtc;Swtc;Taf;Taf;Taf;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Taf;Swtc;Swtc;Swtc;Swtc;Swtc;Swtc;Neck;Neck;Neck;Neck;Neck;Taf;Neck;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;Bow;HafB;ALAD;HdBw;HdBw;HdBw;HdBw;Bow;Bow;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Neck;Taf,NA,IIIIJHHHHHJJJHHHHHHHJHHHHHHIIIIIJIDDDDDDDDDDDDDDDDDDDDEBFFFFDDIIIIIIIIIIIIIIIIIJ,NA,173.935
