UID,ObsDate,Log,Observer,Time,Male1ID,FemID,Bird2ID,FemOnOff,FemUpDown,Behavior,MaleOtherBeh1
32,9/12/2017,CrossRiver,NO,63.646,8000,8200,NA,Female Off Log,NA,Male1 NeckTwist,NA
32,9/12/2017,CrossRiver,NO,64.398,8000,8200,NA,Female Off Log,NA,Male1 NeckTwist,NA
32,9/12/2017,CrossRiver,NO,65.897,8000,8200,NA,Female Off Log,NA,Male1 NeckTwist,NA
32,9/12/2017,CrossRiver,NO,83.646,8000,8200,NA,Female Off Log,NA,End,NA
41,9/12/2017,First,NC,0.915,965,NA,NA,Female Off Log,NA,Start,
41,9/12/2017,First,NC,6.069,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
41,9/12/2017,First,NC,9.657,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
41,9/12/2017,First,NC,10.359,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
41,9/12/2017,First,NC,17.171,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Wing Flash
41,9/12/2017,First,NC,22.427,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Vocalization
41,9/12/2017,First,NC,24.177,965,NA,NA,Female Off Log,NA,Male1 BowRight,
41,9/12/2017,First,NC,25.006,965,NA,NA,Female Off Log,NA,Male1 BowLeft,
41,9/12/2017,First,NC,25.938,965,NA,NA,Female Off Log,NA,Male1 BowRight,
41,9/12/2017,First,NC,26.936,965,NA,NA,Female Off Log,NA,Male1 BowLeft,
41,9/12/2017,First,NC,28.182,965,NA,NA,Female Off Log,NA,Male1 Half-bow Right,
41,9/12/2017,First,NC,33.936,965,NA,NA,Female Off Log,NA,Male1 SLAD,
41,9/12/2017,First,NC,33.944,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Vocalization
41,9/12/2017,First,NC,35.369,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
41,9/12/2017,First,NC,39.451,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
41,9/12/2017,First,NC,47.451,965,NA,NA,Female Off Log,NA,Male1 SLAD,
41,9/12/2017,First,NC,47.5,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Vocalization
41,9/12/2017,First,NC,48.458,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
41,9/12/2017,First,NC,48.7,965,NA,NA,Female Off Log,NA,Male1 Half-bow Right,
41,9/12/2017,First,NC,49.447,965,NA,NA,Female Off Log,NA,Male1 Half-bow Left,
41,9/12/2017,First,NC,50.203,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
41,9/12/2017,First,NC,51.465,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
41,9/12/2017,First,NC,52.466,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
41,9/12/2017,First,NC,53.96,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
41,9/12/2017,First,NC,56.957,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
41,9/12/2017,First,NC,58.75,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
41,9/12/2017,First,NC,67.957,965,NA,NA,Female Off Log,NA,Male1 SLAD,
41,9/12/2017,First,NC,68.017,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Vocalization
41,9/12/2017,First,NC,71.984,965,NA,NA,Female Off Log,NA,Male1 BowLeft,
41,9/12/2017,First,NC,72.976,965,NA,NA,Female Off Log,NA,Male1 BowRight,
41,9/12/2017,First,NC,73.726,965,NA,NA,Female Off Log,NA,Male1 BowLeft,
41,9/12/2017,First,NC,80.48,965,NA,NA,Female Off Log,NA,Male1 ALAD,
41,9/12/2017,First,NC,82.728,965,NA,NA,Female Off Log,NA,Male1 HeadDownBowing,
41,9/12/2017,First,NC,85.486,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
41,9/12/2017,First,NC,102.265,965,NA,NA,Female Off Log,NA,End,
42,9/12/2017,First,NC,1.665,965,NA,NA,Female Off Log,NA,Start,
42,9/12/2017,First,NC,6.91,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,
42,9/12/2017,First,NC,7.43,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
42,9/12/2017,First,NC,24.678,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
42,9/12/2017,First,NC,31.434,965,NA,NA,Female Off Log,NA,Male1 ALAD,
42,9/12/2017,First,NC,33.445,965,NA,NA,Female Off Log,NA,Male1 HeadDownBowing,
42,9/12/2017,First,NC,35.436,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
42,9/12/2017,First,NC,41.933,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
42,9/12/2017,First,NC,51.959,965,NA,NA,Female Off Log,NA,Male1 On Log No Display,
42,9/12/2017,First,NC,54.956,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
42,9/12/2017,First,NC,69.722,965,NA,NA,Female Off Log,NA,Male1 SLAD,
42,9/12/2017,First,NC,70.222,965,NA,NA,Female Off Log,NA,Male1 Other Behavior,Gardening
42,9/12/2017,First,NC,71.219,965,NA,NA,Female Off Log,NA,Male1 BowRight,
42,9/12/2017,First,NC,71.476,965,NA,NA,Female Off Log,NA,Male1 Half-bow Left,
42,9/12/2017,First,NC,71.975,965,NA,NA,Female Off Log,NA,Male1 BowRight,
42,9/12/2017,First,NC,72.728,965,NA,NA,Female Off Log,NA,Male1 BowLeft,
42,9/12/2017,First,NC,79.24,965,NA,NA,Female Off Log,NA,Male1 ALAD,
