UID,Category,maleID,femID,b2ID,hasFemOn,hasFemAction,hasAttCop,hasCop,hasMaleFem,hasB2Action,hasMaleB2
1654,SOLO,980,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1659,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1660,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1661,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1662,AUDI,296,984,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1663,AUDI,296,981,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1665,SOLO,113,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1666,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1674,MULT,296,984,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
1676,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1677,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1679,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1688,SOLO,299,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1701,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1706,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1707,AUDI,296,8400,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1708,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1710,AUDI,296,8300,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1711,AUDI,296,8400,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1713,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1725,SOLO,296,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1726,AUDI,296,8200,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1727,AUDI,296,8200,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1730,AUDI,296,8400,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
